bundle,kind,graphs_or_screenplays,nodes_or_actions,edges,parse_errors,normalized_sha256
charactertest_screenplays.bundle,screenplay_bundle,1,51,50,0,2921c56e3c3051f787ab34a23b0fa29344dde9420da267e7b0120d420378fc0d
escapingrulesforoneday_screenplays.bundle,screenplay_bundle,1,796,795,0,10b1ff20a8565abc908469582c2fa3f530d1822f5d5abf85eef8c152e8b32057
linejbl1_obsolete_screenplays.bundle,screenplay_bundle,1,1084,1083,0,038d65690777baa9e41cb674e1983d36c0f3a434d4fac0dd2da48e9f024c8a55
linejbl1_screenplays.bundle,screenplay_bundle,1,1256,1255,0,f73c643d6f64c318df8aa924e41b93b0e6837ccc65318cb5a5675400b406e509
linejbl_chapter1_apart2bpart_screenplays.bundle,screenplay_bundle,1,301,300,0,18248fd840159bb053810b5a0ef1d33450c40b8cc154f1bfb83c586e5b7feed5
linejbl_chapter1_apart_officer_screenplays.bundle,screenplay_bundle,1,143,142,0,0d6ceffc7d668bce0d7a47aa5cd6922fee1772b59d656cc0971f3a1407a6f75f
linejbl_chapter1_bpart2apart_screenplays.bundle,screenplay_bundle,1,301,300,0,cd1e7e8300402ebb320fb4744c0e1b61f9d32a0010deb272088cb0ca64e1d684
linejbl_chapter1_bpart_doctor_screenplays.bundle,screenplay_bundle,1,158,157,0,29ea55e05c1874a8b0f915ee48f2ab643595d11672c2456d1aeab6adf55e95db
linejbl_chapter1_mainpart2_screenplays.bundle,screenplay_bundle,1,1133,1132,0,21990fa2079009ae308277ab51d9e3961396129a7670e474101ed5ecfbad54ac
linejbl_chapter1_screenplays.bundle,screenplay_bundle,1,1552,1553,0,e5d4d9682e6196c2c1b8f1732d60582d7eb74c10e45bf90ed80a2373eb4bffc3
linejbl_screenplays.bundle,screenplay_bundle,1,1256,1255,0,90a6721a9cecca031889f59c4d0b63667130768a86d840fbdc13dbdf18f1af79
linejylock_screenplays.bundle,screenplay_bundle,1,6,5,0,9156d6f25e83ced700bac15c656d3254fc456a3440d142a91cdc952966760c88
linella1_obsolete_screenplays.bundle,screenplay_bundle,1,1108,1107,0,02ebf5e4627534453c34c2c8a1c6438a93e57315e2469aec59ce72247498fe49
linella1_screenplays.bundle,screenplay_bundle,1,1239,1238,0,edd42b17aedc6a632db7070ef50d28f6fe63db98a22b34b42c52279b8eb84bf3
linella_chapter1_investigate_aboutera_screenplays.bundle,screenplay_bundle,1,26,25,0,1d3467c2e01ea428b0cd5bd7973400cd0920a75e1522641aebe59e7640b1a55b
linella_chapter1_investigate_aboutlcorp_screenplays.bundle,screenplay_bundle,1,47,46,0,44991d046e0dc00068bd5a5606f11a659b51e3508da20a5447cf6c5adb9ef64f
linella_chapter1_investigate_aboutplan_screenplays.bundle,screenplay_bundle,1,1352,1351,0,da1dfa89a029b06766dc90f73a9d7baf133769e2ecb2970eca670e7836cb3521
linella_chapter1_investigate_aboutwcity_screenplays.bundle,screenplay_bundle,1,23,22,0,739e79ebeb1646e0399faf95996542aaf13f3060e1145d919ea3d08a12204b56
linella_chapter1_remake_apart_jbl_screenplays.bundle,screenplay_bundle,1,352,351,0,fd21562485d450d72aa5a43f012a4d4bbc06ed775cc9650b279e42288fdb9652
linella_chapter1_remake_bpart_yll_screenplays.bundle,screenplay_bundle,1,356,355,0,483836f6ba48bb9d2be7c548f742a4c80680958483e40eaeaf05850a02327023
linella_chapter1_remake_mainpart1_screenplays.bundle,screenplay_bundle,1,1479,1480,0,bc142e2ffd55b014a7519dec1ad93593e63a0ad63387cf8029f1703e70d134ae
linella_chapter1_remake_mainpart2_screenplays.bundle,screenplay_bundle,1,1084,1083,0,ff708def4d3637aaccc484c6d892119aa8a98116d8b1785ab5572cc0894928f2
